Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine(cc),Power(bhp),Seats,Price,Brand,Model,Region
2010,45807,Petrol,Manual,First,18.5,1197,80.0,5.0,1.87,Hyundai,i20,East
2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5.0,2.85,Volkswagen,Vento,East
2012,51920,Petrol,Manual,First,16.8,1497,116.3,5.0,4.25,Honda,City,West
2012,54000,Diesel,Manual,First,23.08,1461,63.1,5.0,4.25,Nissan,Micra,South
2013,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,2.75,Maruti,Alto,South
2018,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,9.9,Honda,WRV,South
2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7.0,4.0,Toyota,Innova,West
2013,62000,Diesel,Manual,First,19.01,1461,108.45,5.0,7.75,Renault,Duster,South
2012,87615,Petrol,Manual,First,14.53,1798,138.1,5.0,6.75,Toyota,Corolla,North
2013,72000,Diesel,Automatic,Second,11.18,2696,184.0,7.0,12.5,Mahindra,Ssangyong,South
2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5.0,11.5,Audi,A6,East
2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,6.98,Volkswagen,Vento,South
2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5.0,1.85,Maruti,WagonR,North
2018,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,8.63,Maruti,Vitara,South
2017,52000,Petrol,Manual,First,18.15,1198,82.0,5.0,4.85,Mahindra,KUV,North
2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5.0,28.0,Mercedes-Benz,M-Class,West
2013,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,5.0,Volkswagen,Polo,South
2008,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,1.25,Maruti,Alto,North
2014,19698,Petrol,Manual,First,25.4,624,37.5,4.0,1.53,Tata,Nano,South
2017,22033,Diesel,Manual,First,25.32,1198,77.0,6.0,5.58,Mahindra,KUV,South
2014,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,4.74,Hyundai,i20,South
2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,8.85,Hyundai,Elantra,South
2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,10.11,Toyota,Corolla,West
2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,4.25,Hyundai,Elantra,West
2012,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,10.95,Toyota,Innova,South
2014,75000,Diesel,Manual,First,24.4,1120,71.0,5.0,3.85,Hyundai,Xcent,North
2012,75800,Diesel,Manual,Second,16.55,2498,105.0,6.0,5.5,Mahindra,Thar,North
2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5.0,21.43,Audi,A4,South
2014,52000,Diesel,Manual,First,22.9,1248,74.0,5.0,4.25,Maruti,Swift,North
2014,53000,Diesel,Manual,First,17.8,1248,75.0,5.0,3.3,Maruti,Swift,East
2013,65650,Diesel,Manual,First,28.4,1248,74.0,5.0,3.85,Maruti,Swift,North
2015,54000,Petrol,Manual,Third,18.9,1197,82.0,5.0,3.6,Hyundai,Grand,South
2015,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,3.99,Volkswagen,Vento,East
2017,16542,Petrol,Manual,First,25.17,799,53.3,5.0,3.3,Renault,KWID,South
2010,32000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.07,Hyundai,i10,East
2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5.0,7.75,Nissan,X-Trail,South
2010,39300,Petrol,Manual,First,18.2,998,67.1,5.0,2.25,Maruti,Zen,South
2017,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,16.5,Toyota,Innova,West
2010,72000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.75,Ford,Figo,South
2015,58000,Petrol,Automatic,First,11.74,1796,186.0,5.0,26.7,Mercedes-Benz,New,North
2011,65000,Diesel,Manual,Second,15.8,2148,170.0,5.0,10.0,Mercedes-Benz,New,West
2016,178000,Diesel,Manual,First,25.0,1396,69.0,5.0,2.5,Tata,Indica,South
2012,65664,Diesel,Automatic,First,16.55,1968,140.0,5.0,13.5,Audi,A4,North
2007,63000,Petrol,Automatic,Second,16.4,1497,78.0,5.0,1.85,Honda,City,West
2019,15369,Diesel,Automatic,First,0.0,1950,194.0,5.0,35.67,Mercedes-Benz,C-Class,South
2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,8.15,Maruti,Ertiga,West
2018,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,10.5,Hyundai,Creta,West
2008,73000,Petrol,Automatic,First,8.5,4806,500.0,5.0,14.5,Porsche,Cayenne,West
2015,55729,Diesel,Manual,First,15.1,2179,140.0,7.0,9.65,Mahindra,XUV500,West
2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,3.48,Hyundai,i10,South
2015,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,6.92,Nissan,Terrano,South
2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,6.46,Honda,Brio,South
2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,29.5,Audi,A6,North
2006,230000,Petrol,Manual,Third,12.4,1998,132.0,8.0,4.5,Toyota,Innova,South
2012,104000,Diesel,Manual,First,12.8,2494,102.0,7.0,11.75,Toyota,Innova,South
2012,95100,Diesel,Manual,First,22.9,1248,74.0,5.0,3.75,Maruti,Swift,North
2017,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,4.5,Tata,Zest,West
2016,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,4.82,Honda,Amaze,South
2012,70337,Diesel,Manual,First,20.0,1399,68.0,5.0,2.8,Ford,Figo,South
2013,99638,Diesel,Manual,First,23.2,1248,73.94,5.0,3.11,Maruti,Ritz,North
2009,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,3.25,Honda,City,North
2011,75000,Diesel,Automatic,Second,16.73,1995,218.0,5.0,13.9,BMW,5,North
2009,95980,Petrol,Manual,First,20.36,1197,78.9,5.0,2.25,Hyundai,i10,West
2016,16000,Petrol,Manual,First,18.9,1197,82.0,5.0,5.75,Hyundai,Grand,South
2016,18949,Petrol,Manual,First,17.8,1198,86.7,5.0,5.0,Honda,Amaze,West
2014,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,16.5,Toyota,Fortuner,North
2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,39.58,Audi,A6,South
2013,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,5.5,Ford,Ecosport,North
2014,58000,Diesel,Manual,First,15.1,2179,140.0,7.0,8.1,Mahindra,XUV500,North
2015,30000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,Honda,Amaze,East
2013,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,2.79,Volkswagen,Polo,East
2010,70002,Diesel,Manual,First,16.2,1493,110.0,5.0,3.45,Hyundai,Verna,West
2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,4.45,Maruti,WagonR,South
2010,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,2.65,Volkswagen,Polo,North
2011,78958,Diesel,Manual,Second,23.0,1396,90.0,5.0,3.8,Hyundai,i20,West
2014,30180,Petrol,Manual,First,18.5,1197,82.85,5.0,4.65,Hyundai,i20,West
2017,32851,Petrol,Manual,First,19.83,1198,67.0,7.0,3.95,Datsun,GO,West
2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5.0,9.8,Audi,A4,East
2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5.0,2.7,Hyundai,i20,West
2010,93850,Petrol,Manual,First,14.0,796,35.0,5.0,2.41,Maruti,Omni,South
2014,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,3.9,Toyota,Etios,West
2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,24.0,Jaguar,XF,South
2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7.0,5.75,Mahindra,XUV500,North
2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,5.25,Hyundai,Verna,East
2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.25,Toyota,Innova,West
2017,38053,Petrol,Manual,First,15.1,1196,73.0,5.0,3.91,Maruti,Eeco,South
2014,25500,Petrol,Manual,First,25.4,624,37.5,4.0,2.15,Tata,Nano,South
2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5.0,20.75,BMW,3,West
2010,71088,Petrol,Manual,First,13.5,1799,130.0,5.0,3.35,Honda,Civic,North
2014,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,11.11,Toyota,Innova,West
2014,32700,Diesel,Automatic,First,23.3,1984,150.0,5.0,20.0,Volvo,V40,South
2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,6.55,Nissan,Micra,South
2009,128000,Petrol,Automatic,First,10.8,2497,215.0,5.0,7.0,BMW,5,West
2016,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,7.5,Maruti,Vitara,West
2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,16.75,Mercedes-Benz,B,West
2018,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,10.95,Hyundai,Verna,East
2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,2.45,Maruti,WagonR,West
2017,32684,Petrol,Automatic,First,21.9,624,37.48,4.0,3.23,Tata,Nano,South
2014,42000,Diesel,Manual,First,12.05,2179,120.0,8.0,7.75,Mahindra,Scorpio,East
2009,28352,Petrol,Automatic,First,11.7,1796,178.0,5.0,9.35,Mercedes-Benz,New,East
2013,89900,CNG,Manual,First,37.24,998,58.16,5.0,3.25,Maruti,WagonR,West
2007,47700,Petrol,Manual,Second,10.8,2354,152.0,5.0,5.25,Honda,CR-V,South
2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,7.25,Volkswagen,Vento,West
2017,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,7.47,Maruti,Ciaz,South
2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7.0,13.25,Mahindra,XUV500,North
2016,30232,Petrol,Manual,First,21.1,1197,85.8,5.0,5.81,Maruti,Ritz,South
2014,88500,Petrol,Manual,First,24.07,998,67.1,5.0,2.6,Maruti,Alto,South
2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,54.0,Mercedes-Benz,SLC,East
2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,11.5,Hyundai,Verna,South
2010,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,1.6,Maruti,Alto,South
2015,31821,Diesel,Automatic,First,20.58,1995,143.0,5.0,17.22,BMW,1,South
2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,6.0,Honda,Jazz,West
2012,88578,Petrol,Manual,First,13.5,1799,130.0,5.0,3.95,Honda,Civic,North
2014,44965,Diesel,Automatic,First,19.27,2143,170.0,5.0,17.95,Mercedes-Benz,New,South
2014,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,3.7,Honda,Amaze,East
2016,34204,Petrol,Manual,First,22.0,1197,81.8,5.0,5.43,Maruti,Swift,South
2012,91235,Diesel,Manual,First,11.5,2982,171.0,7.0,13.49,Toyota,Fortuner,South
2014,38800,Petrol,Manual,First,18.6,1199,76.8,5.0,2.85,Chevrolet,Beat,West
2013,83000,Diesel,Manual,First,21.14,1498,103.52,5.0,4.75,Skoda,Rapid,South
2018,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,9.9,Maruti,Ciaz,South
2013,23000,Petrol,Automatic,First,11.05,2894,444.0,4.0,37.0,Audi,RS5,West
2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5.0,26.5,BMW,3,West
2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,23.32,Audi,A4,South
2016,35000,Diesel,Manual,First,22.9,1248,74.0,5.0,6.25,Maruti,Swift,South
2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5.0,30.0,Mercedes-Benz,S,East
2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,9.86,Skoda,Rapid,South
2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5.0,8.5,Skoda,Superb,West
2019,14322,Petrol,Manual,First,21.1,814,55.2,5.0,4.23,Hyundai,EON,South
2012,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,3.5,Volkswagen,Polo,North
2016,6000,Petrol,Manual,First,20.63,1198,67.06,5.0,2.5,Datsun,GO,East
2013,33280,Petrol,Manual,First,19.4,1198,86.8,5.0,2.39,Honda,Brio,East
2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.25,Mercedes-Benz,B,North
2015,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,7.11,Honda,City,South
2016,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,10.9,Toyota,Innova,West
2017,24005,Petrol,Manual,First,20.4,1197,81.8,5.0,6.2,Maruti,Swift,West
2012,32792,Diesel,Manual,First,15.1,2179,140.0,7.0,7.9,Mahindra,XUV500,West
2014,147898,Diesel,Manual,First,22.7,1498,89.84,5.0,4.42,Ford,Ecosport,South
2012,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,13.5,Toyota,Fortuner,West
2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5.0,6.25,Volkswagen,Vento,South
2010,66123,Diesel,Manual,Second,20.0,1399,68.0,5.0,2.1,Ford,Figo,North
2015,41000,Diesel,Automatic,First,15.3,2993,258.0,5.0,45.0,BMW,X5,West
2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5.0,33.66,Mercedes-Benz,New,South
2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5.0,3.65,Honda,Brio,South
2013,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.75,Hyundai,i10,North
2016,44414,Diesel,Automatic,First,17.9,2143,170.0,5.0,42.5,Mercedes-Benz,GLC,South
2019,1000,Petrol,Manual,First,18.9,1197,81.86,5.0,6.5,Hyundai,Grand,East
2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5.0,19.0,Audi,A6,West
2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5.0,4.45,Volkswagen,Vento,West
2017,8525,Diesel,Automatic,Second,16.6,1998,112.0,5.0,23.0,Mini,Countryman,North
2014,29000,Diesel,Manual,First,22.54,1396,88.73,5.0,8.35,Hyundai,i20,South
2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5.0,22.95,Audi,A6,West
2012,88000,Diesel,Manual,First,25.44,936,57.6,5.0,1.5,Chevrolet,Beat,North
2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5.0,6.89,Skoda,Superb,South
2006,216000,Diesel,Manual,Second,17.8,1399,68.0,5.0,1.45,Ford,Fiesta,South
2014,51000,Diesel,Automatic,First,22.48,1995,190.0,5.0,33.5,BMW,5,South
2007,118500,Petrol,Manual,First,12.9,1598,102.5,5.0,1.25,Chevrolet,Optra,North
2012,63000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.2,Volkswagen,Polo,South
2015,25000,Diesel,Manual,First,19.98,1461,108.5,8.0,6.75,Renault,Lodgy,West
2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,32.0,Mercedes-Benz,E-Class,South
2017,24773,Petrol,Manual,First,21.4,1197,83.1,5.0,7.5,Maruti,Baleno,South
2012,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,4.6,Hyundai,Verna,North
2017,52340,Petrol,Manual,First,19.81,1086,68.05,5.0,4.04,Hyundai,i10,South
2016,56739,Diesel,Manual,First,15.4,1997,120.0,7.0,10.31,Mahindra,Scorpio,South
2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5.0,55.76,Land,Rover,South
2010,120000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.6,Ford,Figo,South
2016,33000,Diesel,Manual,First,25.47,1248,88.5,7.0,8.5,Maruti,Ertiga,West
2014,52000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,Honda,Amaze,East
2015,43571,Petrol,Manual,First,20.36,1197,78.9,5.0,3.55,Hyundai,i10,North
2013,50000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.25,Honda,Amaze,East
2008,113000,Diesel,Manual,First,17.5,1896,106.0,5.0,4.5,Skoda,Laura,South
2014,90000,Diesel,Manual,First,19.87,1461,83.8,5.0,5.35,Renault,Duster,North
2017,29000,Diesel,Manual,Second,17.45,1493,100.0,7.0,6.5,Mahindra,NuvoSport,South
2016,20000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.0,Maruti,Vitara,West
2016,61012,Petrol,Manual,First,18.6,1197,81.83,5.0,6.0,Hyundai,i20,South
2009,87459,Petrol,Manual,First,14.7,1390,85.0,5.0,2.75,Skoda,Fabia,North
2010,70500,Petrol,Manual,First,15.64,1193,64.1,5.0,1.5,Tata,Indigo,West
2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5.0,19.9,Audi,Q3,North
2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5.0,10.0,Skoda,Octavia,West
2014,104000,Diesel,Manual,First,23.59,1364,67.06,5.0,3.0,Toyota,Etios,North
2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.96,Mercedes-Benz,B,South
2013,45000,Diesel,Manual,First,27.4,1498,98.6,5.0,3.25,Honda,Amaze,East
2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5.0,4.75,Hyundai,Verna,North
2014,30000,Diesel,Manual,First,20.46,1461,83.8,5.0,5.95,Renault,Duster,West
2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5.0,8.15,Hyundai,Creta,North
2016,8500,Petrol,Automatic,First,20.51,998,67.0,5.0,4.22,Maruti,WagonR,West
2010,30500,Petrol,Automatic,First,11.74,1796,186.0,5.0,10.5,Mercedes-Benz,New,East
2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5.0,45.0,Audi,A8,North
2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2.9,Hyundai,i10,West
2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5.0,8.9,Skoda,Rapid,West
2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5.0,26.0,Skoda,Superb,South
2018,25166,Petrol,Manual,First,17.19,1197,81.86,5.0,8.22,Hyundai,i20,South
2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5.0,3.5,Honda,Amaze,East
2004,61000,Petrol,Manual,Second,18.9,998,67.1,5.0,1.25,Maruti,WagonR,South
2013,107000,Diesel,Manual,First,21.03,1461,65.0,5.0,3.7,Mahindra,Verito,South
2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5.0,39.41,Mercedes-Benz,New,South
2013,32000,Petrol,Manual,First,22.5,998,67.04,5.0,2.65,Maruti,WagonR,East
2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5.0,8.92,Nissan,Terrano,South
2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4.0,35.67,Mini,Cooper,South
2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5.0,0.85,Tata,Indica,North
2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5.0,3.32,Chevrolet,Beat,South
2012,45000,Diesel,Manual,First,22.07,1199,73.9,5.0,3.6,Volkswagen,Polo,West
2016,64000,Diesel,Manual,First,22.9,1248,74.0,5.0,6.8,Maruti,Swift,South
2012,41284,Diesel,Manual,First,20.0,1399,68.05,5.0,2.5,Ford,Figo,East
2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.64,Toyota,Innova,South
2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7.0,7.0,Hyundai,Santa,West
2011,32572,Petrol,Manual,First,17.4,1497,117.3,5.0,3.87,Honda,City,East
2018,14960,Petrol,Manual,First,18.6,1197,81.83,5.0,6.27,Hyundai,i20,South
2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5.0,18.12,Mercedes-Benz,New,South
2013,74000,Diesel,Manual,First,25.44,936,57.6,5.0,2.65,Chevrolet,Beat,West
2015,56847,Diesel,Manual,First,22.54,1396,88.73,5.0,7.2,Hyundai,i20,South
2015,121374,Diesel,Manual,First,12.99,2494,100.6,7.0,14.3,Toyota,Innova,South
2013,52000,Diesel,Manual,First,20.77,1248,88.76,7.0,6.9,Maruti,Ertiga,South
2014,118000,Diesel,Manual,First,12.8,2494,102.0,7.0,10.75,Toyota,Innova,West
2016,33915,Petrol,Manual,First,17.8,1497,117.3,5.0,8.09,Honda,City,South
2014,82002,Diesel,Automatic,First,17.05,1995,184.0,5.0,18.5,BMW,X1,West
2017,33000,Diesel,Manual,First,24.0,1120,70.0,5.0,4.75,Hyundai,Grand,West
2016,34000,Diesel,Manual,First,28.09,1248,88.5,5.0,8.45,Maruti,Ciaz,South
2012,55000,Diesel,Manual,First,20.5,1598,103.6,5.0,3.5,Skoda,Rapid,East
2006,160538,Diesel,Manual,First,13.1,1493,82.0,5.0,1.8,Hyundai,Accent,South
2014,60000,Diesel,Manual,Second,19.91,1498,103.6,5.0,3.7,Volkswagen,Polo,North
2017,49575,Petrol,Manual,First,18.7,1199,88.7,5.0,7.17,Honda,Jazz,South
2010,83000,Petrol,Manual,First,19.81,1086,68.05,5.0,1.75,Hyundai,i10,North
2018,51346,Diesel,Automatic,First,16.38,1995,183.0,5.0,21.99,Hyundai,Tucson,South
2017,43000,Diesel,Manual,First,13.68,2393,147.8,7.0,18.65,Toyota,Innova,West
2011,35000,Petrol,Manual,Third,19.7,796,35.0,5.0,1.85,Maruti,Omni,North
2017,27872,Petrol,Manual,Second,20.4,1197,81.8,5.0,5.95,Maruti,Swift,South
2014,16514,Petrol,Manual,First,18.9,1197,82.0,5.0,3.75,Hyundai,Grand,West
2012,120000,Diesel,Manual,First,22.9,1248,74.0,5.0,3.75,Maruti,Swift,West
2008,143275,Diesel,Manual,First,22.0,1582,126.2,5.0,2.6,Hyundai,Verna,South
2010,52000,Petrol,Manual,First,17.0,1197,80.0,5.0,2.8,Hyundai,i20,West
2017,29819,Diesel,Automatic,First,11.57,2987,254.79,5.0,61.29,Mercedes-Benz,GLE,South
2014,57000,Diesel,Manual,Second,15.8,2148,170.0,5.0,18.0,Mercedes-Benz,New,South
2014,88500,Diesel,Manual,First,23.2,1248,73.94,5.0,4.35,Maruti,Ritz,South
2016,28000,Diesel,Manual,First,19.67,1582,126.2,5.0,13.75,Hyundai,Creta,South
2010,67000,Petrol,Manual,First,19.0,998,66.1,5.0,2.0,Maruti,A-Star,West
2016,26000,Diesel,Manual,First,19.64,1461,108.45,5.0,10.0,Renault,Duster,North
2010,120000,Diesel,Manual,First,17.8,1248,76.0,5.0,1.65,Fiat,Grande,North
2017,51982,Diesel,Automatic,First,16.55,2993,258.0,5.0,45.77,BMW,X3,South
2010,36000,Petrol,Manual,Second,20.36,1197,78.9,5.0,3.25,Hyundai,i10,South
2016,47000,Diesel,Manual,First,12.8,2494,102.0,7.0,12.8,Toyota,Innova,West
2002,60000,Petrol,Manual,Third,17.3,993,60.0,5.0,0.55,Maruti,Zen,West
2018,31025,Diesel,Manual,First,28.4,1248,74.0,5.0,7.15,Maruti,Swift,South
2013,105000,Diesel,Manual,Second,12.05,2179,120.0,8.0,7.0,Mahindra,Scorpio,West
2017,121900,Diesel,Manual,First,22.95,1248,74.0,5.0,3.75,Tata,Zest,West
2017,22695,Petrol,Manual,First,18.88,999,123.24,5.0,8.5,Ford,EcoSport,West
2012,73000,Diesel,Manual,First,23.4,1248,74.0,5.0,4.35,Maruti,Swift,North
2016,32227,Petrol,Manual,First,22.74,796,47.3,5.0,3.26,Maruti,Alto,South
2011,55000,Petrol,Manual,First,17.0,1497,118.0,5.0,4.21,Honda,City,North
2018,11287,Diesel,Automatic,First,12.07,2967,241.4,7.0,70.36,Audi,Q7,South
2009,48000,Diesel,Automatic,Second,17.0,1896,105.0,5.0,2.95,Skoda,Laura,West
2012,54308,Petrol,Manual,First,17.1,1591,121.3,5.0,4.28,Hyundai,Verna,South
2009,78442,Petrol,Automatic,First,16.8,1497,118.0,5.0,3.57,Honda,City,North
2013,46000,Diesel,Manual,First,21.9,1396,88.8,5.0,3.11,Hyundai,i20,East
2014,45051,Petrol,Automatic,First,15.0,1396,98.6,5.0,5.96,Hyundai,i20,South
2011,69000,Diesel,Manual,First,20.54,1598,103.6,5.0,4.7,Volkswagen,Vento,South
2014,49000,Petrol,Manual,First,17.4,1497,117.3,5.0,6.9,Honda,City,West
2018,45000,Diesel,Manual,First,22.95,1248,74.0,5.0,5.25,Tata,Zest,West
2015,64000,Diesel,Automatic,First,18.48,1995,177.0,5.0,28.0,BMW,5,West
2009,60000,Petrol,Manual,First,18.9,1061,67.0,5.0,1.35,Maruti,WagonR,North
2015,62178,Petrol,Manual,First,18.2,1199,88.7,5.0,4.85,Honda,Jazz,North
2012,58006,Diesel,Manual,First,15.0,1896,105.0,5.0,6.7,Volkswagen,Jetta,South
2010,74000,Petrol,Manual,First,20.36,1197,78.9,5.0,3.1,Hyundai,i10,South
2015,77771,Diesel,Automatic,First,19.27,2143,170.0,5.0,18.64,Mercedes-Benz,New,South
2012,45275,Petrol,Manual,First,20.36,1197,78.9,5.0,2.8,Hyundai,i10,West
2016,48000,Diesel,Manual,First,13.68,2393,147.8,7.0,20.25,Toyota,Innova,South
2015,31652,Diesel,Automatic,First,17.68,1968,174.33,5.0,26.78,Audi,A6,South
